City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Asuncion,PY,-25.3007,-57.6359,26.69,47,20,4.12,few clouds
231,Adre,TD,13.4667,22.2,30.28,31,53,3.64,broken clouds
232,Pacific Grove,US,36.6177,-121.9166,19.02,77,0,4.63,clear sky
233,Wete,TZ,-5.0559,39.7294,25.45,88,100,3.25,overcast clouds
234,Mount Gambier,AU,-37.8333,140.7667,11.95,100,100,6.69,overcast clouds
235,Avarua,CK,-21.2078,-159.775,27.03,78,20,2.06,few clouds
236,Hokitika,NZ,-42.7167,170.9667,11.64,71,0,1.93,clear sky
237,Balykshi,KZ,47.0667,51.8667,10.0,71,0,0.0,clear sky
238,Vanimo,PG,-2.6741,141.3028,25.33,89,97,0.71,overcast clouds
239,Mahanje,TZ,-9.9333,35.3333,18.24,96,20,0.31,light rain
240,Kysyl-Syr,RU,63.8986,122.7617,-2.84,91,100,6.76,light snow
241,Skibbereen,IE,51.55,-9.2667,9.5,79,5,5.46,clear sky
242,Urucara,BR,-2.5364,-57.76,27.07,92,100,0.52,moderate rain
243,Tawang,IN,27.5833,91.8667,6.11,87,59,1.07,broken clouds
244,Saint-Gaudens,FR,43.0833,0.6667,13.9,90,100,2.81,overcast clouds
245,Arraial Do Cabo,BR,-22.9661,-42.0278,23.98,69,75,5.66,broken clouds
246,Murwillumbah,AU,-28.3167,153.4,18.01,82,40,1.54,scattered clouds
247,Beringovskiy,RU,63.05,179.3167,-1.08,97,100,6.28,light snow
248,Lata,PT,40.1629,-8.3327,16.62,92,93,1.53,overcast clouds
249,Hamilton,US,39.1834,-84.5333,11.6,44,0,5.14,clear sky
250,Muhos,FI,64.808,25.9931,2.88,97,100,0.48,overcast clouds
251,Kholm-Zhirkovskiy,RU,55.5189,33.4731,0.01,75,55,4.65,broken clouds
252,Jinxiang,CN,27.4327,120.6062,14.09,78,92,2.15,overcast clouds
253,Victoria,HK,22.2855,114.1577,22.32,79,100,4.47,overcast clouds
254,Maldonado,UY,-34.6667,-54.9167,20.66,64,100,4.21,overcast clouds
255,Port Hedland,AU,-20.3167,118.5667,26.03,73,34,2.57,scattered clouds
256,Shingu,JP,33.7333,135.9833,14.09,90,99,3.75,overcast clouds
257,Nanortalik,GL,60.1432,-45.2371,-0.55,78,64,4.47,broken clouds
258,Rio Grande,BR,-32.035,-52.0986,22.06,67,100,4.77,light rain
259,Ankazoabo,MG,-22.2833,44.5167,24.57,63,94,1.69,overcast clouds
260,Carnot,CF,4.9409,15.8665,25.45,63,59,1.39,broken clouds
261,Lazarev,RU,52.225,141.5131,-6.04,97,97,3.4,overcast clouds
262,Sharlyk,RU,52.9167,54.75,9.59,57,100,3.14,overcast clouds
263,Alzamay,RU,55.5562,98.6644,6.72,88,100,2.05,overcast clouds
264,Les Cayes,HT,18.2,-73.75,27.88,67,90,5.95,overcast clouds
265,Manono,CD,-7.3,27.4167,21.46,93,83,1.65,light rain
266,Hanover,DE,52.3705,9.7332,10.96,49,0,1.54,clear sky
267,Stupava,SK,48.2747,17.0317,8.15,52,0,4.12,clear sky
268,Hudson Bay,CA,52.85,-102.3842,-0.9,79,100,0.92,light snow
269,Lujan,AR,-34.5703,-59.105,21.84,56,100,0.45,overcast clouds
270,Almoloya,MX,19.7,-98.4,27.25,12,1,5.01,clear sky
271,Bambous Virieux,MU,-20.3428,57.7575,25.14,94,75,1.03,moderate rain
272,Uruzgan,AF,32.8333,66.0,18.29,46,99,1.18,overcast clouds
273,Camopi,GF,3.1655,-52.3158,25.03,95,100,2.1,light rain
274,Walvis Bay,NA,-22.9575,14.5053,15.53,82,2,0.51,clear sky
275,Teguldet,RU,57.3064,88.1667,5.61,89,100,3.38,overcast clouds
276,Sorland,NO,67.667,12.6934,5.92,85,100,7.04,overcast clouds
277,Margate,GB,51.3813,1.3862,13.5,68,100,0.45,overcast clouds
278,Berbera,SO,10.4396,45.0143,27.65,86,8,1.22,clear sky
279,Cabo San Lucas,MX,22.8909,-109.9124,32.61,21,20,3.09,few clouds
280,Jumla,NP,29.2747,82.1838,9.75,58,17,1.64,few clouds
281,Sisimiut,GL,66.9395,-53.6735,-6.57,71,100,2.96,overcast clouds
282,Biak,ID,-0.9131,122.8766,24.15,77,55,1.4,broken clouds
283,Badou,TG,7.5833,0.6,25.91,75,97,1.4,overcast clouds
284,Kralendijk,BQ,12.15,-68.2667,27.99,74,75,7.2,broken clouds
285,Ancud,CL,-41.8697,-73.8203,15.13,72,100,2.71,overcast clouds
286,Lazaro Cardenas,MX,17.9583,-102.2,28.56,54,99,4.53,overcast clouds
287,Yulara,AU,-25.2406,130.9889,16.91,48,0,3.6,clear sky
288,Kovalevskoye,RU,45.1942,40.9761,12.89,69,100,4.67,overcast clouds
289,Tommot,RU,58.9564,126.2925,-7.14,87,100,1.94,overcast clouds
290,Nishiwaki,JP,34.9833,134.9667,13.36,84,83,1.57,broken clouds
291,Colares,PT,38.7992,-9.4469,17.1,73,20,11.62,few clouds
292,Severo-Kurilsk,RU,50.6789,156.125,-1.14,79,83,3.66,broken clouds
293,Coquimbo,CL,-29.9533,-71.3436,15.85,77,40,5.66,scattered clouds
294,San Quintin,MX,30.4833,-115.95,20.01,57,6,8.01,clear sky
295,Changli,CN,39.7042,119.1506,12.72,40,100,2.14,overcast clouds
296,Gazli,UZ,40.1333,63.45,22.3,32,100,8.67,overcast clouds
297,Cuenca,EC,-2.8833,-78.9833,15.07,94,100,2.06,light rain
298,Long Beach,US,33.767,-118.1892,26.1,69,0,6.17,clear sky
299,Bethel,US,41.3712,-73.414,10.02,41,100,5.36,overcast clouds
300,Porto Novo,BJ,6.4965,2.6036,28.9,75,100,3.85,light rain
301,Vostok,RU,46.4856,135.8833,-5.21,85,15,2.06,few clouds
302,Yaan,NG,7.3833,8.5667,29.52,65,86,5.12,overcast clouds
303,Nioro,GM,13.35,-15.75,29.65,31,4,5.64,clear sky
304,Ugoofaaru,MV,5.6667,73.0,28.93,75,100,4.61,overcast clouds
305,Shiraz,IR,29.6036,52.5388,15.69,13,0,2.06,clear sky
306,Labytnangi,RU,66.6572,66.4183,-12.57,91,96,2.33,overcast clouds
