City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Castro,BR,18.67,clear sky,-24.7911,-50.0119,CHACARA BAILLY
177,Constitucion,CL,15.79,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
178,Islamkot,PK,24.72,clear sky,24.6997,70.17699999999999,Haji Hotel
181,Garowe,SO,27.89,broken clouds,8.4054,48.4845,Curubo Hotel
183,Lompoc,US,22.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
185,Saldanha,ZA,16.03,clear sky,-33.0117,17.9442,Blue Bay Lodge
188,Chaman,PK,24.04,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
189,Hami,CN,12.34,clear sky,42.8,93.45,Laoyutang Resort
190,Frei Paulo,BR,26.02,overcast clouds,-10.5494,-37.5344,Restaurante e Pousada Nossa Senhora De Fátima
192,Fairview,US,11.42,broken clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
193,Ribeira Grande,PT,16.22,few clouds,38.5167,-28.7,Quinta da Meia Eira
194,Rafraf,TN,13.18,overcast clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
197,Tumut,AU,13.46,overcast clouds,-35.3,148.2167,Amaroo Motel
199,Samarai,PG,27.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
200,Kemin,KG,16.05,overcast clouds,42.7846,75.6892,Hotel Kok-Oirok
203,Talas,TR,15.37,broken clouds,38.6908,35.5538,Fimaj Residence
205,Beira,MZ,27.05,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
206,Axim,GH,26.36,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
209,Quarai,BR,21.12,broken clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
210,Port Macquarie,AU,13.83,few clouds,-31.4333,152.9167,Rydges Port Macquarie
211,Veraval,IN,26.67,clear sky,20.9,70.3667,Lords Inn Somnath
213,Mahebourg,MU,25.16,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
214,Tsabong,BW,18.54,light rain,-26.0217,22.401,Springbok Motel
215,Huilong,CN,13.85,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
216,Fukue,JP,15.42,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
219,Los Llanos De Aridane,ES,18.86,few clouds,28.6585,-17.9182,Valle Aridane
220,Touros,BR,27.86,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
222,Acari,PE,24.94,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
225,Vao,NC,25.06,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
226,Sakakah,SA,25.76,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
227,Hobyo,SO,28.56,light rain,5.3505,48.5268,Iftin hotel hobyo
229,Mount Isa,AU,15.87,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
